timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Wed Sep  1 00:00:52 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:01:53 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:02:54 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:03:54 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:04:55 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:05:55 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:06:56 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 10.3226, 0
Wed Sep  1 00:07:56 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:08:57 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:09:58 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:10:58 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:11:59 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:12:59 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:14:00 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:15:01 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:16:01 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:17:02 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:18:02 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:19:03 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:20:04 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:21:04 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:22:05 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:23:05 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:24:06 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:25:06 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:26:07 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:27:08 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:28:08 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:29:09 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:30:09 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:31:10 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:32:10 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:33:11 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:34:12 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:35:12 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:36:13 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
Wed Sep  1 00:37:13 2021, 0, 4485, 0, 6, 3630, 0, 7, 375, 0, 0, 0
